"","fips","state_fips","county_fips","name","lsad","census_area","state","iso_3166_2","population"
"1","01001","01","001","Autauga","County",594.436,"Alabama","AL",54590
"2","01009","01","009","Blount","County",644.776,"Alabama","AL",57466
"3","01017","01","017","Chambers","County",596.531,"Alabama","AL",34228
"4","01021","01","021","Chilton","County",692.854,"Alabama","AL",43611
"5","01033","01","033","Colbert","County",592.619,"Alabama","AL",54451
"6","01045","01","045","Dale","County",561.15,"Alabama","AL",50129
"7","01051","01","051","Elmore","County",618.485,"Alabama","AL",79330
"8","01065","01","065","Hale","County",643.943,"Alabama","AL",15750
"9","01079","01","079","Lawrence","County",690.678,"Alabama","AL",34148
"10","01083","01","083","Limestone","County",559.936,"Alabama","AL",83313
"11","01099","01","099","Monroe","County",1025.675,"Alabama","AL",22993
"12","01107","01","107","Pickens","County",881.408,"Alabama","AL",19646
"13","01121","01","121","Talladega","County",736.775,"Alabama","AL",82194
"14","05141","05","141","Van Buren","County",708.143,"Arkansas","AR",17223
"15","05145","05","145","White","County",1035.075,"Arkansas","AR",77007
"16","06005","06","005","Amador","County",594.583,"California","CA",37764
"17","06021","06","021","Glenn","County",1313.947,"California","CA",28078
"18","06033","06","033","Lake","County",1256.464,"California","CA",64360
"19","06043","06","043","Mariposa","County",1448.816,"California","CA",18193
"20","06055","06","055","Napa","County",748.362,"California","CA",136644
"21","06089","06","089","Shasta","County",3775.402,"California","CA",177693
"22","06099","06","099","Stanislaus","County",1494.827,"California","CA",515115
"23","06115","06","115","Yuba","County",631.839,"California","CA",72244
"24","08003","08","003","Alamosa","County",722.643,"Colorado","CO",15750
"25","08013","08","013","Boulder","County",726.289,"Colorado","CO",297218
"26","08014","08","014","Broomfield","County",33.034,"Colorado","CO",55913
"27","08025","08","025","Crowley","County",787.421,"Colorado","CO",5747
"28","08031","08","031","Denver","County",153,"Colorado","CO",604356
"29","08035","08","035","Douglas","County",840.248,"Colorado","CO",286883
"30","08047","08","047","Gilpin","County",149.896,"Colorado","CO",5358
"31","12083","12","083","Marion","County",1584.546,"Florida","FL",331987
"32","12087","12","087","Monroe","County",983.282,"Florida","FL",73475
"33","12095","12","095","Orange","County",903.429,"Florida","FL",1153795
"34","12111","12","111","St. Lucie","County",571.926,"Florida","FL",278246
"35","12119","12","119","Sumter","County",546.933,"Florida","FL",94240
"36","12125","12","125","Union","County",243.556,"Florida","FL",15400
"37","13001","13","001","Appling","County",507.081,"Georgia","GA",18279
"38","13013","13","013","Barrow","County",160.309,"Georgia","GA",69136
"39","13029","13","029","Bryan","County",435.967,"Georgia","GA",30616
"40","13043","13","043","Candler","County",243.044,"Georgia","GA",11007
"41","13055","13","055","Chattooga","County",313.338,"Georgia","GA",25905
"42","13059","13","059","Clarke","County",119.2,"Georgia","GA",117762
"43","13071","13","071","Colquitt","County",544.153,"Georgia","GA",45531
"44","13079","13","079","Crawford","County",324.888,"Georgia","GA",12701
"45","13091","13","091","Dodge","County",495.89,"Georgia","GA",21509
"46","13107","13","107","Emanuel","County",680.604,"Georgia","GA",22600
"47","13113","13","113","Fayette","County",194.342,"Georgia","GA",106525
"48","13123","13","123","Gilmer","County",426.54,"Georgia","GA",28232
"49","08053","08","053","Hinsdale","County",1117.251,"Colorado","CO",790
"50","08057","08","057","Jackson","County",1613.723,"Colorado","CO",1397
"51","08059","08","059","Jefferson","County",764.208,"Colorado","CO",536095
"52","08073","08","073","Lincoln","County",2577.626,"Colorado","CO",5443
"53","08083","08","083","Montezuma","County",2029.527,"Colorado","CO",25424
"54","08095","08","095","Phillips","County",687.928,"Colorado","CO",4380
"55","08105","08","105","Rio Grande","County",911.958,"Colorado","CO",11925
"56","08111","08","111","San Juan","County",387.488,"Colorado","CO",747
"57","08123","08","123","Weld","County",3987.238,"Colorado","CO",253552
"58","09015","09","015","Windham","County",512.91,"Connecticut","CT",118046
"59","12001","12","001","Alachua","County",875.02,"Florida","FL",247973
"60","12013","12","013","Calhoun","County",567.334,"Florida","FL",14639
"61","12023","12","023","Columbia","County",797.574,"Florida","FL",67546
"62","12039","12","039","Gadsden","County",516.332,"Florida","FL",46823
"63","12055","12","055","Highlands","County",1016.615,"Florida","FL",98734
"64","12059","12","059","Holmes","County",478.777,"Florida","FL",19971
"65","12073","12","073","Leon","County",666.852,"Florida","FL",276506
"66","04003","04","003","Cochise","County",6165.69,"Arizona","AZ",131118
"67","04013","04","013","Maricopa","County",9200.143,"Arizona","AZ",3841819
"68","05001","05","001","Arkansas","County",988.77,"Arkansas","AR",19029
"69","05009","05","009","Boone","County",590.231,"Arkansas","AR",37032
"70","05019","05","019","Clark","County",866.074,"Arkansas","AR",23050
"71","05029","05","029","Conway","County",552.25,"Arkansas","AR",21203
"72","05043","05","043","Drew","County",828.356,"Arkansas","AR",18615
"73","05051","05","051","Garland","County",677.781,"Arkansas","AR",96249
"74","05061","05","061","Howard","County",588.554,"Arkansas","AR",13790
"75","05071","05","071","Johnson","County",659.804,"Arkansas","AR",25554
"76","05085","05","085","Lonoke","County",770.728,"Arkansas","AR",68274
"77","05097","05","097","Montgomery","County",779.88,"Arkansas","AR",9453
"78","05101","05","101","Newton","County",820.896,"Arkansas","AR",8286
"79","05111","05","111","Poinsett","County",758.389,"Arkansas","AR",24506
"80","05123","05","123","St. Francis","County",634.771,"Arkansas","AR",28089
"81","05129","05","129","Searcy","County",666.095,"Arkansas","AR",8146
"82","13309","13","309","Wheeler","County",295.484,"Georgia","GA",7572
"83","13313","13","313","Whitfield","County",290.464,"Georgia","GA",102152
"84","13319","13","319","Wilkinson","County",447.308,"Georgia","GA",9577
"85","16015","16","015","Boise","County",1899.237,"Idaho","ID",7014
"86","16021","16","021","Boundary","County",1268.56,"Idaho","ID",10857
"87","16045","16","045","Gem","County",560.9,"Idaho","ID",16768
"88","16051","16","051","Jefferson","County",1093.501,"Idaho","ID",25940
"89","16057","16","057","Latah","County",1075.996,"Idaho","ID",37365
"90","16067","16","067","Minidoka","County",757.591,"Idaho","ID",19909
"91","16081","16","081","Teton","County",449.456,"Idaho","ID",10007
"92","17005","17","005","Bond","County",380.279,"Illinois","IL",17762
"93","17009","17","009","Brown","County",305.607,"Illinois","IL",6913
"94","17019","17","019","Champaign","County",996.266,"Illinois","IL",200931
"95","17029","17","029","Coles","County",508.291,"Illinois","IL",53683
"96","17035","17","035","Cumberland","County",346.024,"Illinois","IL",11044
"97","17049","17","049","Effingham","County",478.777,"Illinois","IL",34258
"98","17055","17","055","Franklin","County",408.889,"Illinois","IL",39518
"99","17065","17","065","Hamilton","County",434.665,"Illinois","IL",8430
"100","18051","18","051","Gibson","County",487.486,"Indiana","IN",33437
"101","18059","18","059","Hancock","County",306.016,"Indiana","IN",69778
"102","18069","18","069","Huntington","County",382.651,"Indiana","IN",37144
"103","18079","18","079","Jennings","County",376.583,"Indiana","IN",28373
"104","18085","18","085","Kosciusko","County",531.381,"Indiana","IN",77328
"105","18095","18","095","Madison","County",451.915,"Indiana","IN",131244
"106","18105","18","105","Monroe","County",394.509,"Indiana","IN",138048
"107","18115","18","115","Ohio","County",86.14,"Indiana","IN",6093
"108","18125","18","125","Pike","County",334.238,"Indiana","IN",12849
"109","18131","18","131","Pulaski","County",433.649,"Indiana","IN",13395
"110","18139","18","139","Rush","County",408.124,"Indiana","IN",17349
"111","18153","18","153","Sullivan","County",447.142,"Indiana","IN",21379
"112","18173","18","173","Warrick","County",384.815,"Indiana","IN",59643
"113","18179","18","179","Wells","County",368.087,"Indiana","IN",27677
"114","18183","18","183","Whitley","County",335.569,"Indiana","IN",33234
"115","19009","19","009","Audubon","County",442.961,"Iowa","IA",6077
"116","19017","19","017","Bremer","County",435.477,"Iowa","IA",24294
"117","19021","19","021","Buena Vista","County",574.915,"Iowa","IA",20215
"118","19031","19","031","Cedar","County",579.436,"Iowa","IA",18446
"119","19039","19","039","Clarke","County",431.167,"Iowa","IA",9286
"120","17073","17","073","Henry","County",822.985,"Illinois","IL",50378
"121","17077","17","077","Jackson","County",584.081,"Illinois","IL",59992
"122","17079","17","079","Jasper","County",494.51,"Illinois","IL",9707
"123","17089","17","089","Kane","County",520.058,"Illinois","IL",514891
"124","17103","17","103","Lee","County",724.896,"Illinois","IL",35778
"125","17107","17","107","Logan","County",618.059,"Illinois","IL",30278
"126","17121","17","121","Marion","County",572.363,"Illinois","IL",39319
"127","17129","17","129","Menard","County",314.437,"Illinois","IL",12728
